Entity,Code,Year,Geo Biomass Other - TWh,Hydro Generation - TWh,Solar Generation - TWh,Wind Generation -TWh
Africa,,1965,0,13.905635174733,0,0
Africa,,1966,0,15.510004137511,0,0
Africa,,1967,0,16.190636359103998,0,0
Africa,,1968,0,18.938340564834,0,0
Africa,,1969,0,22.100889620817,0,0
Africa,,1970,0,27.630429815552002,0,0
Africa,,1971,0.16399999999999998,26.013390904094,0,0
Africa,,1972,0.165,29.633196415376002,0,0
Africa,,1973,0.17,31.345707551533,0,0
Africa,,1974,0.175,35.667074289357,0,0
Africa,,1975,0.172,37.717969971158,0,0
Africa,,1976,0.185,41.797633239816,0,0
Africa,,1977,0.18899999999999997,45.928768122531004,0,0
Africa,,1978,0.195,46.306938740575,0,0
Africa,,1979,0.201,49.565232983879994,0,0
Africa,,1980,0.207,48.311784355875304,0,0
Africa,,1981,0.218,50.192906061870495,0,0
Africa,,1982,0.23600000000000002,50.2062371347722,0,0
Africa,,1983,0.23,45.247160061870495,0,0
Africa,,1984,0.23399999999999999,44.48997331942449,0,0
Africa,,1985,0.26899999999999996,49.4496850519584,0,0
Africa,,1986,0.659,51.1453733013589,0,0
Africa,,1987,0.6579999999999999,49.0564603084245,0,0
Africa,,1988,0.626,53.5934563571399,0,0
Africa,,1989,0.617,56.2762147671271,0,0
Africa,,1990,0.765731343269348,57.254659123238,0,0
Africa,,1991,0.7879999999999999,60.651488412762006,0,0
Africa,,1992,0.824250000088655,57.8602916846068,0,0
Africa,,1993,0.9157000000438058,56.682507267930205,0,0.002
Africa,,1994,0.82100000004172,57.59604856711061,0,0.0054
Africa,,1995,1.02070000002295,59.768876874666994,0,0.0063
Africa,,1996,1.26009308793189,62.316458674204,0,0.0071
Africa,,1997,1.38864040821181,63.8524975622244,0,0.0072
Africa,,1998,1.71454928559653,66.6548878792364,0,0.0076
Africa,,1999,1.6961247989676598,70.6842613165359,0,0.0198
Africa,,2000,2.26906315789474,75.2458166169896,0.0131410000026226,0.17600000000000002
Africa,,2001,2.3353526315789503,80.8641147201386,0.0163599999945611,0.41608
Africa,,2002,2.2864,85.1814681310532,0.0194710100715058,0.44458400000000003
Africa,,2003,2.6224,82.8726014590169,0.0230290101063745,0.541199
Africa,,2004,2.9841,87.4054692560565,0.0274610100035677,0.7692805050505049
Africa,,2005,3.0148,89.0657341822671,0.0323760101699652,0.7823821111111109
Africa,,2006,3.77529,92.24055300904051,0.04065700986245,0.8525656060606059
Africa,,2007,3.14685,95.3405618110886,0.0533332930266589,1.0162233636393398
Africa,,2008,3.2714220000000003,97.1572092517623,0.0751322020028171,1.3121781313131298
Africa,,2009,3.56272219,99.76113689631799,0.0981529272484478,1.5897309393954298
Africa,,2010,3.829542064,107.42683264097401,0.213820750424688,2.28418243433914
Africa,,2011,3.9296566110000004,110.444821003428,0.452785300917026,2.53747293937963
Africa,,2012,4.089949862,110.95230022209,0.551142125598304,2.96173124049708
